,xr,linear_reg,k2,k3,k5,k10,k30,k500,k100,k300
1926,2626,2324.473040757427,2562.0,2553.6666666666665,2212.8,2390.9,2410.9,2055.488,2299.13,2157.7166666666667
1927,2627,2325.5626785387803,2562.0,2553.6666666666665,2212.8,2266.0,2410.9,2055.488,2299.13,2157.7166666666667
1928,2628,2326.6523163201346,2562.0,2589.3333333333335,2212.8,2266.0,2410.9,2055.488,2299.13,2157.7166666666667
1929,2629,2327.741954101488,2562.0,2589.3333333333335,2212.8,2250.3,2418.366666666667,2055.488,2299.13,2157.7166666666667
1930,2630,2328.831591882842,2562.0,2589.3333333333335,2212.8,2250.3,2418.366666666667,2055.488,2299.13,2157.7166666666667
1931,2631,2329.9212296641954,2626.5,2589.3333333333335,2341.8,2250.3,2424.4666666666667,2055.488,2299.13,2157.7166666666667
1932,2632,2331.0108674455487,2626.5,2589.3333333333335,2341.8,2250.3,2424.4666666666667,2055.488,2299.13,2157.7166666666667
1933,2633,2332.100505226903,2626.5,2589.3333333333335,2341.8,2253.1,2424.4666666666667,2055.488,2299.13,2157.7166666666667
1934,2634,2333.190143008256,2626.5,2589.3333333333335,2319.6,2253.1,2424.4666666666667,2055.488,2299.13,2157.7166666666667
1935,2635,2334.2797807896104,2626.5,2589.3333333333335,2319.6,2253.1,2424.4666666666667,2055.488,2299.13,2157.7166666666667
1936,2636,2335.3694185709637,2626.5,2219.0,2319.6,2253.1,2435.266666666667,2055.488,2299.13,2157.7166666666667
1937,2637,2336.459056352318,2626.5,2219.0,2319.6,2222.1,2435.266666666667,2055.488,2299.13,2157.7166666666667
1938,2638,2337.5486941336712,2626.5,2219.0,2319.6,2222.1,2435.266666666667,2055.488,2299.13,2157.7166666666667
1939,2639,2338.6383319150254,2024.0,2219.0,2319.6,2222.1,2443.9,2055.488,2299.13,2157.7166666666667
1940,2640,2339.7279696963788,2024.0,2158.0,2319.6,2222.1,2443.9,2055.488,2299.13,2157.7166666666667
1941,2641,2340.817607477732,2024.0,2158.0,2338.0,2222.1,2443.9,2055.488,2299.13,2157.7166666666667
1942,2642,2341.9072452590863,2024.0,2158.0,2338.0,2222.1,2443.9,2055.488,2299.13,2157.7166666666667
